early_bidding,bidding_ratio,nibble_bidding,last_bidding,starting_price,auction_bids,winning_ratio,buyer_tendency,shill_score,Label
4.38377,0.14285714285714285,1,0,1.0,21,0.0,1,9.186559571428571,0
0.2489,0.07407407407407407,1,0,19.99,27,0.0,1,15.408707037037036,0
4.04034,0.125,1,0,1.0,16,0.0,1,7.574602,0
0.80803,0.058823529411764705,0,0,1.0,17,0.0,1,6.171820764705882,0
4.99991,0.05263157894736842,0,1,10.0,19,1.0,1,12.126288789473683,0
0.75466,0.13636363636363635,1,0,9.99,22,0.3333333333333333,1,11.324913151515151,0
2.43444,0.19047619047619047,2,0,1.0,21,0.0,1,9.325570095238096,0
4.71455,0.07407407407407407,1,0,10.0,27,0.0,1,13.751402037037037,0
4.98568,0.1111111111111111,2,0,9.99,27,0.0,1,14.548259555555555,0
0.88918,0.05555555555555555,0,0,150.0,18,0.0,4,52.694531777777776,0
0.14073,0.04878048780487805,0,0,70.0,41,0.0,1,33.86660924390244,0
4.99994,0.045454545454545456,0,1,45.99,22,1.0,1,23.819709272727273,0
4.64682,0.041666666666666664,0,1,9.99,24,0.0,2,13.311879333333332,0
2.13845,0.25,5,0,9.99,24,0.0,1,14.963535,0
4.574,0.041666666666666664,0,0,9.99,24,0.5,2,12.940033333333332,0
4.23571,0.0625,0,0,1.0,16,0.0,1,6.901963,0
0.43102,0.23809523809523808,4,0,1.0,21,0.0,1,10.148353619047619,0
0.62721,0.1,1,0,1.0,20,0.0,2,8.238163,0
4.8699,0.05555555555555555,0,0,140.0,18,0.0,1,49.38874777777778,0
3.53597,0.14814814814814814,2,0,9.99,27,0.0,1,14.131865074074074,0
4.02661,0.047619047619047616,0,0,1.0,21,0.0,1,8.331792523809524,0
2.68125,0.06666666666666667,0,0,10.0,15,0.0,1,8.837708333333333,0
0.19818,0.6296296296296297,13,0,19.99,27,0.0,2,24.571268814814815,0
0.29435,0.047619047619047616,0,0,1.0,21,0.0,1,7.2121145238095234,0
4.89087,0.6666666666666666,1,1,175.0,3,0.5,1,57.45059433333334,0
1.35212,0.2222222222222222,4,0,10.0,27,0.0,1,14.91674711111111,0
1.41985,0.0625,0,0,1.0,16,0.0,1,6.057205,0
4.75809,0.0625,0,0,1.0,16,0.5,2,7.908677,0
0.08247,0.037037037037037035,0,0,19.99,27,0.0,1,14.640259518518516,0
3.16427,0.041666666666666664,0,0,9.99,24,0.0,1,11.667114333333332,0
4.40543,0.037037037037037035,0,0,9.99,27,0.0,2,13.437147518518518,0
3.66314,0.2,2,0,10.0,15,0.0,1,10.598942,0
0.21005,0.037037037037037035,0,0,10.0,27,0.0,1,11.681533518518519,0
0.03309,0.16666666666666666,1,0,25.0,18,0.0,1,14.193260333333331,0
2.06992,0.14814814814814814,1,0,10.0,27,0.0,1,12.995050074074074,0
1.33169,0.05555555555555555,0,0,1.0,18,0.0,2,7.127284777777778,0
1.01773,0.047619047619047616,0,0,9.99,21,0.0,1,10.126128523809523,0
2.68769,0.047619047619047616,0,0,1.0,21,0.0,1,7.930116523809524,0
4.2391,0.041666666666666664,0,0,9.99,24,0.0,4,13.489563333333333,0
4.04716,0.1111111111111111,1,0,1.0,18,0.0,3,9.169703555555555,0
0.43948,0.1875,2,0,9.99,16,0.0,1,9.922594,0
0.89618,0.25,4,0,1.0,20,0.0,2,10.493853999999999,0
3.04558,0.05555555555555555,0,0,140.0,18,0.0,1,48.84145177777778,0
1.21723,0.037037037037037035,0,0,19.99,27,0.0,4,16.480687518518515,0
0.28517,0.037037037037037035,0,0,10.0,27,0.0,1,11.70406951851852,0
4.38693,0.125,1,0,1.0,16,0.0,1,7.678579,0
4.59128,0.125,1,0,1.0,16,0.0,1,7.739884,0
1.57781,0.25,2,0,9.99,16,0.0,1,10.295342999999999,0
4.9197,0.07407407407407407,0,1,19.99,27,0.5,1,17.159947037037035,0
0.95328,0.125,0,0,1.0,8,0.0,1,3.548484,0
4.22407,0.07692307692307693,0,0,10.0,13,0.0,1,8.705682538461538,0
0.4387,0.037037037037037035,0,0,19.99,27,0.0,2,15.247128518518517,0
3.88235,0.18181818181818182,0,0,150.0,11,0.0,1,50.05561409090909,0
0.08297,0.045454545454545456,0,0,9.99,22,0.0,1,10.144618272727273,0
4.9956,0.17647058823529413,2,0,1.0,17,0.0,1,8.886915294117646,0
1.74229,0.058823529411764705,0,0,1.0,17,0.0,1,6.452098764705882,0
2.59773,0.05555555555555555,0,0,1.0,18,0.0,3,8.007096777777777,0
4.40211,0.047619047619047616,0,0,9.99,21,0.0,1,11.141442523809523,0
4.94439,0.047619047619047616,0,0,9.99,21,0.0,1,11.304126523809522,0
1.34743,0.041666666666666664,0,0,9.99,24,0.0,1,11.122062333333332,0
0.39551,0.07407407407407407,0,0,9.99,27,0.0,1,11.752690037037038,0
4.98639,0.2,2,1,10.0,15,0.0,2,12.195917000000001,0
0.36773,0.037037037037037035,0,0,9.99,27,0.0,4,13.225837518518517,0
4.04949,0.058823529411764705,0,0,1.0,17,0.0,1,7.1442587647058815,0
4.61866,0.06666666666666667,0,0,10.0,15,0.0,1,9.418931333333333,0
1.13889,0.024390243902439025,0,0,70.0,41,0.0,1,34.15386212195122,0
4.8415,0.041666666666666664,0,0,15.0,24,0.0,1,13.673283333333332,0
4.22332,0.09090909090909091,0,0,150.0,11,0.0,1,50.11245054545454,0
4.80769,0.125,0,0,1.0,8,0.0,1,4.704807000000001,0
2.7191,0.041666666666666664,0,0,9.99,24,0.0,1,11.533563333333333,0
0.02873,0.041666666666666664,0,0,9.99,24,0.0,1,10.726452333333333,0
0.01745,0.0625,0,0,9.99,16,0.0,2,8.833485,0
4.99963,0.058823529411764705,0,1,1.0,17,1.0,1,8.82930076470588,0
4.34973,0.041666666666666664,0,0,15.0,24,0.0,1,13.525752333333333,0
4.74556,0.125,0,0,1.0,8,0.0,1,4.686168,0
4.70378,0.09523809523809523,1,0,9.99,21,0.0,2,12.455753047619048,0
0.72054,0.09090909090909091,0,0,9.99,22,0.0,1,10.358616545454545,0
4.59671,0.041666666666666664,0,0,15.0,24,0.0,1,13.599846333333332,0
4.90097,0.045454545454545456,0,0,45.99,22,0.0,1,22.390018272727275,0
4.87458,0.0625,0,0,1.0,16,0.0,2,7.593624,0
3.04258,0.05555555555555555,0,0,150.0,18,0.0,1,51.840551777777776,0
3.27206,0.05,0,0,1.0,20,0.0,3,8.806618,0
1.53979,0.2222222222222222,3,0,25.0,18,0.0,1,16.07304811111111,0
2.94704,0.047619047619047616,0,0,9.99,21,0.0,1,10.704921523809524,0
3.95325,0.05555555555555555,0,0,140.0,18,0.0,1,49.113752777777776,0
4.12078,0.05555555555555555,0,0,25.0,18,0.0,1,14.664011777777777,0
4.99992,0.09090909090909091,0,1,150.0,11,0.5,2,51.895430545454545,0
4.99468,0.05263157894736842,0,0,10.0,19,0.0,2,11.224719789473685,0
2.85799,0.05263157894736842,0,0,10.0,19,0.0,1,10.083712789473683,0
4.9997,0.125,0,1,179.99,8,0.3333333333333333,2,59.892743333333335,0
2.17205,0.16666666666666666,2,0,25.0,18,0.0,1,15.534948333333332,0
0.29569,0.17647058823529413,0,0,1.0,17,0.0,1,6.0769422941176465,0
3.88748,0.07407407407407407,1,0,10.0,27,0.0,1,13.503281037037038,0
4.78457,0.05555555555555555,0,0,140.0,18,0.0,1,49.36314877777778,0
0.62541,0.3181818181818182,4,0,45.99,22,0.0,3,25.04371390909091,0
2.05743,0.13636363636363635,2,0,45.99,22,0.0,1,22.98241081818182,0
1.62063,0.0625,0,0,1.0,16,0.0,1,6.117439,0
0.71348,0.08333333333333333,0,0,9.99,24,0.0,1,10.952710666666665,0
4.58465,0.05555555555555555,0,0,1.0,18,0.0,2,8.103172777777777,0
4.9758,0.25,0,1,175.0,4,1.0,1,57.217740000000006,0
1.03227,0.18518518518518517,2,0,9.99,27,0.0,1,13.399273592592593,0
4.29896,0.07407407407407407,1,0,9.99,27,0.0,1,13.623725037037037,0
4.93538,0.5,1,0,175.0,4,0.0,1,56.63061400000001,0
4.99369,0.09090909090909091,0,0,45.99,22,0.0,2,22.940561545454543,0
4.55538,0.08333333333333333,1,0,9.99,24,0.0,2,13.305280666666667,0
1.19306,0.07692307692307693,0,0,10.0,13,0.0,4,9.296379538461538,0
1.47801,0.047619047619047616,0,0,9.99,21,0.0,1,10.264212523809523,0
3.43784,0.037037037037037035,0,0,9.99,27,0.0,1,12.646870518518519,0
1.92395,0.10526315789473684,1,0,10.0,19,0.0,1,10.529816578947369,0
3.42495,0.1111111111111111,0,0,25.0,18,0.0,1,14.483040555555554,0
4.95806,0.037037037037037035,0,0,9.99,27,1.0,1,13.802936518518518,0
4.39124,0.2222222222222222,2,1,25.0,18,0.25,1,17.10348311111111,0
4.95152,0.037037037037037035,0,0,19.99,27,0.0,1,16.10097451851852,0
3.05427,0.047619047619047616,0,0,9.99,21,0.0,2,11.237090523809524,0
4.41463,0.15384615384615385,0,1,10.0,13,0.5,1,9.851312076923076,0
4.87578,0.06666666666666667,0,0,10.0,15,1.0,1,10.196067333333334,0
2.76191,0.13333333333333333,0,0,10.0,15,0.0,2,9.395239666666667,0
4.59469,0.047619047619047616,0,0,9.99,21,0.0,2,11.699216523809524,0
4.99865,0.05555555555555555,0,1,1.0,18,0.0,1,8.427372777777776,0
1.53892,0.05,0,0,1.0,20,0.0,2,7.786676,0
2.07809,0.05263157894736842,0,0,10.0,19,0.0,4,11.349742789473684,0
4.84536,0.3888888888888889,5,0,140.0,18,0.0,1,53.048052444444444,0
4.83431,0.0625,0,1,1.0,16,0.0,2,8.281543,0
4.70491,0.21052631578947367,1,0,10.0,19,0.0,1,11.416736157894738,0
